xe,rhoe,ue,pe,ee,Me,se
0.572,1.6485,2.4339,3.1434,4.7671,1.4896,0.4455
0.574,1.6299,2.4524,3.0939,4.7455,1.5044,0.4455
0.576,1.6115,2.4709,3.045,4.724,1.5192,0.4455
0.578,1.5932,2.4894,2.9968,4.7025,1.5341,0.4455
0.58,1.5751,2.508,2.9492,4.681,1.549,0.4455
0.582,1.5572,2.5265,2.9023,4.6596,1.564,0.4455
0.584,1.5394,2.545,2.8561,4.6383,1.5791,0.4455
0.586,1.5218,2.5635,2.8104,4.617,1.5943,0.4455
0.588,1.5043,2.582,2.7654,4.5957,1.6095,0.4455
0.59,1.4871,2.6005,2.7211,4.5746,1.6248,0.4455
0.592,1.4699,2.6191,2.6773,4.5534,1.6402,0.4455
0.594,1.453,2.6376,2.6341,4.5323,1.6556,0.4455
0.596,1.4362,2.6561,2.5915,4.5113,1.6711,0.4455
0.598,1.4195,2.6746,2.5496,4.4903,1.6867,0.4455
0.6,1.403,2.6931,2.5082,4.4693,1.7023,0.4455
0.602,1.3867,2.7117,2.4674,4.4484,1.7181,0.4455
0.604,1.3705,2.7302,2.4271,4.4276,1.7339,0.4455
0.606,1.3544,2.7487,2.3874,4.4067,1.7497,0.4455
0.608,1.3385,2.7672,2.3483,4.386,1.7657,0.4455
0.61,1.3228,2.7857,2.3097,4.3653,1.7817,0.4455
0.612,1.3072,2.8043,2.2717,4.3446,1.7978,0.4455
0.614,1.2917,2.8228,2.2342,4.324,1.814,0.4455
0.616,1.2764,2.8413,2.1973,4.3035,1.8303,0.4455
0.618,1.2613,2.8598,2.1608,4.283,1.8466,0.4455
0.62,1.2463,2.8783,2.1249,4.2625,1.863,0.4455
0.622,1.2314,2.8968,2.0895,4.2421,1.8795,0.4455
0.624,1.2167,2.9154,2.0546,4.2217,1.8961,0.4455
0.626,1.2021,2.9339,2.0202,4.2014,1.9127,0.4455
0.628,1.1877,2.9524,1.9863,4.1811,1.9295,0.4455
0.63,1.1734,2.9709,1.9529,4.1609,1.9463,0.4455
0.632,1.1592,2.9894,1.92,4.1408,1.9632,0.4455
0.634,1.1452,3.008,1.8875,4.1206,1.9801,0.4455
0.636,1.1313,3.0265,1.8556,4.1006,1.9972,0.4455
0.638,1.1175,3.045,1.824,4.0806,2.0143,0.4455
0.64,1.1039,3.0635,1.793,4.0606,2.0316,0.4455
0.642,1.0904,3.082,1.7624,4.0407,2.0489,0.4455
0.644,1.077,3.1005,1.7322,4.0208,2.0663,0.4455
0.646,1.0638,3.1191,1.7025,4.001,2.0838,0.4455
0.648,1.0507,3.1376,1.6733,3.9812,2.1013,0.4455
0.65,1.0378,3.1561,1.6444,3.9615,2.119,0.4455
0.652,1.0249,3.1746,1.616,3.9418,2.1367,0.4455
0.654,1.0122,3.1931,1.588,3.9222,2.1546,0.4455
0.656,0.99962,3.2117,1.5604,3.9026,2.1725,0.4455
0.658,0.98716,3.2302,1.5333,3.883,2.1905,0.4455
0.66,0.97483,3.2487,1.5065,3.8636,2.2086,0.4455
0.662,0.96262,3.2672,1.4802,3.8441,2.2268,0.4455
0.664,0.95053,3.2857,1.4542,3.8247,2.2451,0.4455
0.666,0.93856,3.3043,1.4286,3.8054,2.2635,0.4455
0.668,0.92672,3.3228,1.4035,3.7861,2.282,0.4455
0.67,0.91499,3.3413,1.3787,3.7669,2.3005,0.4455
0.672,0.90338,3.3598,1.3542,3.7477,2.3192,0.4455
0.674,0.89189,3.3783,1.3302,3.7286,2.338,0.4455
0.676,0.88052,3.3968,1.3065,3.7095,2.3568,0.4455
0.678,0.86927,3.4154,1.2832,3.6904,2.3758,0.4455
0.68,0.85813,3.4339,1.2602,3.6714,2.3948,0.4455
0.682,0.8471,3.4524,1.2376,3.6525,2.414,0.4455
0.684,0.83619,3.4709,1.2154,3.6336,2.4332,0.4455
0.686,0.82539,3.4894,1.1934,3.6148,2.4526,0.4455
0.688,0.8147,3.508,1.1719,3.596,2.472,0.4455
0.69,0.80413,3.5265,1.1506,3.5772,2.4916,0.4455
0.692,0.79366,3.545,1.1297,3.5585,2.5112,0.4455
0.694,0.7833,3.5635,1.1091,3.5399,2.531,0.4455
0.696,0.77305,3.582,1.0889,3.5213,2.5508,0.4455
0.698,0.76291,3.6005,1.0689,3.5027,2.5708,0.4455
0.7,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.702,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.704,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.706,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.708,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.71,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.712,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.714,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.716,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.718,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.72,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.722,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.724,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.726,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.728,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.73,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.732,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.734,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.736,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.738,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.74,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.742,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.744,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.746,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.748,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.75,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.752,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.754,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.756,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.758,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.76,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.762,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.764,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.766,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.768,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.77,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.772,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.774,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.776,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.778,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.78,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.782,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.784,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.786,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.788,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.79,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
